Race,Regression_Line,C_d_mul_A,C_rr
Bahrain Grand Prix," 
1.028 x - 2689",1.712986867101906,-0.08257286773766388
all," 
0.7729 x - 1480",1.2881371864172324,-0.04544112275007932
Saudi Arabian Grand Prix," 
0.8466 x - 1856",1.4110306820966743,-0.05697633219111299
Australian Grand Prix," 
0.9399 x - 2261",1.5664361079836102,-0.06941597423088688
Azerbaijan Grand Prix," 
0.6214 x - 153.5",1.035738764516859,-0.004713840688065047
Miami Grand Prix," 
0.5735 x + 179.1",0.9558481788928308,0.005499690770225735
Monaco Grand Prix," 
0.986 x - 2727",1.6432743821885698,-0.08371627016303936
Spanish Grand Prix," 
1.001 x - 2797",1.6689640300076756,-0.08587820957871084
Austrian Grand Prix," 
0.9109 x - 2744",1.5181440955252319,-0.08424795968908762
Hungarian Grand Prix," 
0.8739 x - 1538",1.4564994506623783,-0.04722670195639096
Italian Grand Prix," 
0.9654 x - 3759",1.6089302746149183,-0.11540804390063028
Singapore Grand Prix," 
0.9644 x - 2314",1.6073204263745218,-0.07105714739546072
Japanese Grand Prix," 
0.6366 x - 467.5",1.0609874252479832,-0.014352925565493174
Qatar Grand Prix," 
0.9161 x - 1806",1.526772641559127,-0.05544076767144093
United States Grand Prix," 
1.064 x - 3048",1.7741223041823682,-0.09358879380960876
Mexican Grand Prix," 
0.8887 x - 2863",1.4811735419928143,-0.08791966711058144
Brazilian Grand Prix," 
0.9654 x - 3759",1.6089302746149183,-0.11540804390063028
Las Vegas Grand Prix," 
0.9207 x - 3273",1.5345252597377874,-0.10048801959600304
Abu Dhabi Grand Prix," 
0.9487 x - 2667",1.5811534362958282,-0.08188177896424981
